
2023-07-16_22-09-36: cars 0, truck 0, bus 0, side: left
2023-07-16_22-09-36: cars 4, truck 2, bus 0, side: right
2023-07-16_22-14-38: cars 2, truck 1, bus 0, side: left
2023-07-16_22-14-38: cars 8, truck 2, bus 0, side: right
2023-07-16_22-19-41: cars 1, truck 0, bus 0, side: left
2023-07-16_22-19-41: cars 5, truck 2, bus 1, side: right
2023-07-16_22-24-43: cars 1, truck 0, bus 0, side: left
2023-07-16_22-24-43: cars 8, truck 2, bus 2, side: right
2023-07-16_22-29-45: cars 1, truck 0, bus 0, side: left
2023-07-16_22-29-45: cars 9, truck 2, bus 0, side: right
2023-07-16_22-34-47: cars 3, truck 1, bus 0, side: left
2023-07-16_22-34-47: cars 9, truck 2, bus 0, side: right
2023-07-16_22-39-49: cars 1, truck 0, bus 0, side: left
2023-07-16_22-39-49: cars 10, truck 2, bus 0, side: right
2023-07-16_22-44-52: cars 1, truck 0, bus 0, side: left
2023-07-16_22-44-52: cars 4, truck 2, bus 1, side: right
2023-07-16_22-49-54: cars 1, truck 0, bus 0, side: left
2023-07-16_22-49-54: cars 8, truck 2, bus 0, side: right
2023-07-16_22-54-55: cars 2, truck 0, bus 0, side: left
2023-07-16_22-54-55: cars 6, truck 1, bus 0, side: right
2023-07-16_22-59-58: cars 1, truck 0, bus 0, side: left
2023-07-16_22-59-58: cars 3, truck 1, bus 0, side: right
2023-07-16_23-05-01: cars 3, truck 0, bus 0, side: left
2023-07-16_23-05-01: cars 3, truck 0, bus 0, side: right
2023-07-16_23-10-03: cars 2, truck 1, bus 0, side: left
2023-07-16_23-10-03: cars 3, truck 0, bus 0, side: right
2023-07-16_23-15-06: cars 1, truck 0, bus 0, side: left
2023-07-16_23-15-06: cars 2, truck 0, bus 0, side: right
2023-07-16_23-20-08: cars 1, truck 0, bus 0, side: left
2023-07-16_23-20-08: cars 4, truck 1, bus 0, side: right
2023-07-16_23-25-11: cars 3, truck 1, bus 0, side: left
2023-07-16_23-25-11: cars 10, truck 1, bus 0, side: right
2023-07-16_23-30-13: cars 2, truck 0, bus 0, side: left
2023-07-16_23-30-13: cars 12, truck 1, bus 0, side: right
2023-07-16_23-35-15: cars 3, truck 0, bus 0, side: left
2023-07-16_23-35-15: cars 11, truck 1, bus 0, side: right
2023-07-16_23-40-18: cars 1, truck 0, bus 0, side: left
2023-07-16_23-40-18: cars 11, truck 1, bus 0, side: right
2023-07-16_23-45-20: cars 1, truck 0, bus 0, side: left
2023-07-16_23-45-20: cars 12, truck 1, bus 0, side: right
2023-07-16_23-50-22: cars 4, truck 0, bus 0, side: left
2023-07-16_23-50-22: cars 11, truck 1, bus 0, side: right
2023-07-16_23-55-24: cars 0, truck 0, bus 0, side: left
2023-07-16_23-55-24: cars 11, truck 1, bus 0, side: right
2023-07-17_00-00-27: cars 0, truck 0, bus 0, side: left
2023-07-17_00-00-27: cars 11, truck 1, bus 0, side: right
2023-07-17_00-05-30: cars 1, truck 0, bus 0, side: left
