(822, 'car', 'right')
(823, 'car', 'right')
(824, 'truck', 'right')
(825, 'car', 'right')
(826, 'car', 'right')
(827, 'car', 'right')
(828, 'car', 'right')
(829, 'car', 'right')
(830, 'truck', 'right')
(831, 'car', 'right')
(832, 'car', 'left')
(833, 'car', 'left')
(834, 'truck', 'left')
(835, 'car', 'right')
(836, 'car', 'right')
(837, 'car', 'right')
(838, 'truck', 'right')
(839, 'car', 'right')
(840, 'car', 'right')
(841, 'truck', 'right')
(842, 'car', 'left')
(843, 'car', 'right')
(844, 'car', 'right')
(845, 'car', 'right')
(846, 'car', 'right')
(847, 'car', 'right')
(848, 'car', 'right')
(849, 'car', 'right')
(850, 'car', 'right')
(851, 'truck', 'right')
(852, 'car', 'right')
(853, 'car', 'right')
(854, 'truck', 'right')
(855, 'car', 'right')
(856, 'car', 'right')
(857, 'car', 'right')
(858, 'car', 'right')
(859, 'car', 'right')
(860, 'truck', 'right')
(861, 'car', 'left')
(862, 'car', 'right')
(863, 'car', 'right')
(864, 'car', 'right')
(865, 'car', 'right')
(866, 'car', 'right')
(867, 'car', 'right')
(868, 'car', 'right')
(869, 'car', 'right')
(870, 'truck', 'right')
(871, 'car', 'right')
(872, 'truck', 'right')
(873, 'truck', 'right')
(874, 'car', 'right')
(875, 'car', 'right')
(876, 'car', 'right')
(877, 'car', 'right')
(878, 'car', 'right')
(879, 'car', 'left')
(880, 'car', 'right')
(881, 'car', 'right')
(882, 'car', 'right')
(883, 'car', 'right')
(884, 'car', 'right')
(885, 'car', 'right')
(886, 'car', 'right')
(887, 'car', 'right')
(888, 'car', 'right')
(889, 'truck', 'right')
(890, 'truck', 'right')
(891, 'truck', 'right')
(892, 'truck', 'right')
(893, 'car', 'right')
(894, 'car', 'right')
(895, 'car', 'right')
(896, 'car', 'right')
(897, 'car', 'right')
(898, 'car', 'right')
(899, 'car', 'right')
(900, 'car', 'right')
(901, 'car', 'right')
(902, 'car', 'right')
(903, 'truck', 'right')
(904, 'car', 'right')
(905, 'car', 'right')
(906, 'car', 'right')
(907, 'car', 'right')
(908, 'car', 'right')
(909, 'truck', 'right')
(910, 'truck', 'right')
(911, 'car', 'right')
(912, 'car', 'right')
(913, 'car', 'right')
(914, 'car', 'right')
(915, 'car', 'right')
(916, 'car', 'right')
(917, 'car', 'right')
(918, 'car', 'right')
(919, 'car', 'right')
(920, 'truck', 'right')
(921, 'car', 'right')
(922, 'car', 'right')
(923, 'car', 'right')
(924, 'truck', 'right')
(925, 'truck', 'right')
(926, 'car', 'right')
(927, 'truck', 'right')
(928, 'car', 'right')
(929, 'car', 'right')
